     RR1     RR2   SHAMT    WREG   WDATA      WR     SHE     DIR     RD1     RD2
    0000    0000    0000    0000    0000       0       0       0    0000    0000
    0000    0000    0000    0001    0059       1       0       0    0000    0000
    0000    0000    0000    0010    0048       1       0       0    0000    0000
    0000    0000    0000    0011    007B       1       0       0    0000    0000
    0000    0000    0000    0100    0035       1       0       0    0000    0000
    0001    0010    0000    0000    0000       0       0       0    0059    0048
    0011    0100    0000    0000    0000       0       0       0    007B    0035
    0001    0000    0011    0010    0000       1       1       1    0059    0000
    0011    0000    0101    0100    0000       1       1       0    007B    0000
    0001    0010    0000    0000    0000       0       0       0    0059    02C8
    0011    0100    0000    0000    0000       0       0       0    007B    0003
    0000    0000    0000    0000    0000       0       0       0    0000    0000
